PostLink;PostTürü;BeğeniSayısı;YorumSayısı;Görüntülenme Sayısı;Tarih;DisplayPhoto;Caption;Takipçi
https://www.instagram.com/p/DQ3YjMrjR9n/;Photo;132;0;0;10.11.2025 09:09;https://scontent.cdninstagram.com/v/t51.82787-15/579925124_18273644290304086_437697204089302529_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=Mzc2MjU4Mzk4NTYwNDg2MTc5OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODEwLnNkci5DMyJ9&_nc_ohc=DNtJ8ftTqEcQ7kNvwEJVseW&_nc_oc=AdnzC4A9DukYiCxjLblJgz-sN88U75j2oQtfos-0kHIkGnztAyvagrq-2YcS-f6r_S8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=o0N4Qdn6GFoc_wFg18ax4A&oh=00_AfiKmV0VWsCfmod1z59feXWYasUYWTmbii1XYKYqWOwKVA&oe=692CD753;“Cumhuriyetimizin kurucusu Gazi Mustafa Kemal Atatürk’ü, aramızdan ayrılışının yıl dönümünde saygı, minnet ve rahmetle anıyoruz.  #10Kasım1938 #10Kasım #GaziMustafaKemalAtatürk #ÖzlemleAnıyoruz #Karaman #KaramanBelediyesi #SavaşKalaycı;28421
https://www.instagram.com/p/DQ1a5H0jaZD/;Carousel;248;0;0;9.11.2025 14:51;https://scontent.cdninstagram.com/v/t51.82787-15/575980984_18273471856304086_9148176898207420115_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=Mzc2MjAzMTMzMDY1NDUyNTQ2Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjU5OXg0MDAuc2RyLkMzIn0%3D&_nc_ohc=Oq7_4dyrWmIQ7kNvwFv6ph8&_nc_oc=Adnmme53ZayKeI_zQ1yU4EltCehPdY5mucHkIA4eN3J3P7iTmjMnZEWc5fSxnto7IyY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=o0N4Qdn6GFoc_wFg18ax4A&oh=00_AfhPLsKd87u1MX-VJT_RK11xvytRdCzpJuosfK8jng5Klw&oe=692CE4ED;Genel Başkanımız Sayın Devlet Bahçeli’nin himayelerinde, Genel Merkezimizde düzenlediğimiz, “Milliyetçi Hareket Partisi Belediye Başkanları İstişare ve Değerlendirme Toplantımız.  #MHP #DevletBahçeli  #YerelYönetimler #ÜretkenBelediyecilik;
https://www.instagram.com/p/DQZZVJ_jYz_/;Photo;190;0;0;29.10.2025 17:39;https://scontent.cdninstagram.com/v/t51.82787-15/572771497_18272008180304086_872257615038333050_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc1NDE0MzE2OTM5MTcyNTgyMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODczLnNkci5DMyJ9&_nc_ohc=tWQeSFcsUpIQ7kNvwGsuuAe&_nc_oc=AdkjwafF19dtEnm9D679lKIv_glFzlIU2J6k3JWPlFm97bSybXw2bwpguYrAPur_6iw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=o0N4Qdn6GFoc_wFg18ax4A&oh=00_Afh-y8VlkQ-dLpde2i78T7cbTcesSAeF1gyRvPQiiB6d5g&oe=692CC155;#29Ekim #CumhuriyetBayramı #102Yıl #CumhuriyetBayramımızKutluOlsun #Karaman #KaramanBelediyesi #SavaşKalaycı;
https://www.instagram.com/p/DQWwmozDSLk/;Photo;196;0;0;28.10.2025 17:05;https://scontent.cdninstagram.com/v/t51.82787-15/572019175_18271911544304086_8714050344316464667_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=101&ig_cache_key=Mzc1MzQwMTEwMDgzODcwNzk0MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6InhwaWRzLjE0NDB4ODczLnNkci5DMyJ9&_nc_ohc=gERwBDpBtnUQ7kNvwFprFjs&_nc_oc=AdlMFQHnJ-28WWyKJv259mDHsRKSsOpjHVDJFmk6X2zyIuLLrgLRCggWlvxhxoQtcgE&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent.cdninstagram.com&_nc_gid=o0N4Qdn6GFoc_wFg18ax4A&oh=00_AfjO3oUNo-eG_dJlt1m_5zQSv9UT4vfFHNWRMtcVXhc-Cg&oe=692CC0BA;#29Ekim #CumhuriyetBayramı #102Yıl #CumhuriyetBayramımızKutluOlsun #Karaman #KaramanBelediyesi #SavaşKalaycı;
