Profil;Tag1;Tag2;Tag3;Tag4;Tag5
Ahmet Önal;İç Anadolu;Büyükşehir Olmayan;Kırıkkale;onalahmet71;
Ekrem Canalp;Güneydoğu Anadolu;Büyükşehir Olmayan;Batman;canalpekrem;Kayyım
Mehmet Yarka;Güneydoğu Anadolu;Büyükşehir Olmayan;Şırnak;mehmet.yarka;
Muhammet Rıza Yalçınkaya;Karadeniz;Büyükşehir Olmayan;Bartın;mrizayalcinkaya;
Faruk Demir;Doğu Anadolu;Büyükşehir Olmayan;Ardahan;farukdemir_chp;
Mehmet Nuri Güneş;Doğu Anadolu;Büyükşehir Olmayan;Iğdır;;
Mehmet Gürel;Marmara;Büyükşehir Olmayan;Yalova;mehmetgurel77;
Özkan Çetinkaya;Karadeniz;Büyükşehir Olmayan;Karabük;ozkancetinkayaaa;
Hakan Bilecen;Güneydoğu Anadolu;Büyükşehir Olmayan;Kilis;avhakanbilecen;
İbrahim Çenet;Akdeniz;Büyükşehir Olmayan;Osmaniye;ibrahimcenet80;
Faruk Özlü;Karadeniz;Büyükşehir Olmayan;Düzce;dr_farukozlu;
